repo_name	question_number	is_answered_number	total_view	max_view	total_answer	max_answer
bourbon	30	0	18431	7605	34	0
laptop	30	0	1289	508	23	0
cocaine	5	0	3600	2171	10	0
kumade	0	0	0.0	0	0.0	0
backbone-support	1	0	88	88	1	0
trail-map	0	0	0.0	0	0.0	0
guides	30	0	64742	26771	53	0
neat	30	0	18019	9002	35	0
liftoff	1	0	224	224	1	0
griddler	18	0	3556	873	17	0
climate_control	0	0	0.0	0	0.0	0
bitters	12	0	6975	1555	14	0
vim-rspec	3	0	160	71	1	0
parity	30	0	34605	15889	31	0
rcm	2	0	166	148	1	0
TBAnnotationClustering	0	0	0.0	0	0.0	0
gitsh	0	0	0.0	0	0.0	0
refills	18	0	3782	1045	17	0
carnival	1	0	6	6	0	0
pick	30	0	57390	47048	43	0
Argo	15	0	6597	3303	18	0
proteus	20	0	19051	10314	16	0
foundry	30	0	1936	905	19	0
ember-cli-rails	14	0	4421	2219	14	0
poppins	0	0	0.0	0	0.0	0
Tropos	0	0	0.0	0	0.0	0
Runes	9	0	8315	4164	16	0
til	30	0	8160	1945	57	0
administrate	30	0	5930	1722	25	0
ex_machina	0	0	0.0	0	0.0	0
bamboo	30	0	9598	3939	29	0
Delta	30	0	14347	7390	30	0
expandable-recycler-view	8	0	773	376	8	0
