,org_id,repo_id,name,full_name,fork,forks_count,size,has_issues,has_wiki,language,stargazers_count,watchers_count,created_at,updated_at,homepage
242,google,51486006,tarpc,google/tarpc,False,14,4487,True,False,Rust,267,267,2016-02-11 01:07:24,2016-09-22 19:48:19,https://google.github.io/tarpc
248,google,52813469,marzipano,google/marzipano,False,45,643,True,False,JavaScript,113,113,2016-02-29 18:28:26,2016-09-22 20:44:22,http://www.marzipano.net
257,google,63377929,closure-compiler-js,google/closure-compiler-js,False,20,41,True,False,JavaScript,947,947,2016-07-15 00:06:21,2016-09-22 21:56:35,https://github.com/google/closure-compiler
263,googleplus,8210597,gplus-quickstart-php,googleplus/gplus-quickstart-php,False,61,458,True,True,HTML,140,140,2013-02-15 00:30:49,2016-07-24 14:45:13,https://developers.google.com/+/quickstart/php
269,googlesamples,21246687,androidtv-Leanback,googlesamples/androidtv-Leanback,False,205,8137,True,False,Java,412,412,2014-06-26 16:07:01,2016-09-23 04:11:32,https://developer.android.com/training/tv/
271,googlesamples,21622738,tango-examples-c,googlesamples/tango-examples-c,False,102,141039,True,True,C++,208,208,2014-07-08 17:32:23,2016-09-20 16:14:02,https://developers.google.com/tango/
272,googlesamples,22165798,tango-examples-java,googlesamples/tango-examples-java,False,184,57053,True,True,Java,290,290,2014-07-23 17:48:52,2016-09-22 00:48:24,https://developers.google.com/project-tango/
289,googlesamples,26934626,androidtv-sample-inputs,googlesamples/androidtv-sample-inputs,False,55,7729,True,True,Java,119,119,2014-11-20 22:18:21,2016-09-20 14:59:12,https://developer.android.com/training/tv/tif
294,googlesamples,31926583,tango-examples-unity,googlesamples/tango-examples-unity,False,130,95683,True,True,C#,250,250,2015-03-09 22:41:32,2016-09-22 21:16:50,https://developers.google.com/project-tango/
301,googlesamples,35718695,android-ndk,googlesamples/android-ndk,False,1005,32367,True,True,C++,2149,2149,2015-05-16 10:02:15,2016-09-23 03:52:30,http://developer.android.com/ndk
302,googlesamples,35921551,io2015-codelabs,googlesamples/io2015-codelabs,False,131,182548,True,True,Java,491,491,2015-05-20 02:41:51,2016-09-10 03:48:48,https://io2015codelabs.appspot.com
303,googlesamples,35978156,google-services,googlesamples/google-services,False,1651,8594,True,True,Java,1488,1488,2015-05-20 22:45:11,2016-09-22 06:37:31,https://developers.google.com
307,googlesamples,38396503,android-vision,googlesamples/android-vision,False,432,739,True,True,Java,910,910,2015-07-01 21:40:31,2016-09-23 01:28:36,https://developers.google.com/vision/
311,googlesamples,43714189,android-audio-high-performance,googlesamples/android-audio-high-performance,False,46,2409,True,False,C++,148,148,2015-10-05 21:13:26,2016-09-22 09:01:15,https://googlesamples.github.io/android-audio-high-performance/
320,GoogleCloudPlatform,6730561,appengine-guestbook-python,GoogleCloudPlatform/appengine-guestbook-python,False,239,478,True,True,Python,114,114,2012-11-17 01:01:16,2016-09-21 06:00:22,https://developers.google.com/appengine/docs/python/gettingstartedpython27/
323,GoogleCloudPlatform,9450859,go-endpoints,GoogleCloudPlatform/go-endpoints,False,53,410,True,True,Go,217,217,2013-04-15 14:41:10,2016-09-18 03:22:56,https://go-endpoints.appspot.com
325,GoogleCloudPlatform,10062583,google-cloud-datastore,GoogleCloudPlatform/google-cloud-datastore,False,90,403,True,True,Java,130,130,2013-05-14 19:00:00,2016-09-01 20:48:35,https://cloud.google.com/datastore
326,GoogleCloudPlatform,10309562,appengine-angular-gotodos,GoogleCloudPlatform/appengine-angular-gotodos,False,21,124,True,True,Go,107,107,2013-05-27 07:04:33,2016-07-30 04:08:56,go-todos.appspot.com
331,GoogleCloudPlatform,16316451,google-cloud-python,GoogleCloudPlatform/google-cloud-python,False,204,87922,True,True,Python,396,396,2014-01-28 15:51:47,2016-09-21 20:51:45,https://googlecloudplatform.github.io/google-cloud-python/
333,GoogleCloudPlatform,19483273,google-cloud-node,GoogleCloudPlatform/google-cloud-node,False,205,18506,True,False,JavaScript,912,912,2014-05-06 06:18:00,2016-09-22 15:29:11,https://googlecloudplatform.github.io/google-cloud-node/
334,GoogleCloudPlatform,19608522,google-cloud-go,GoogleCloudPlatform/google-cloud-go,False,112,4181,True,True,Go,463,463,2014-05-09 11:11:58,2016-09-22 03:50:38,https://godoc.org/cloud.google.com/go/
335,GoogleCloudPlatform,19798221,nodejs-docker,GoogleCloudPlatform/nodejs-docker,False,43,79,True,True,JavaScript,149,149,2014-05-14 22:22:56,2016-09-08 08:59:38,https://cloud.google.com/nodejs
337,GoogleCloudPlatform,20343475,google-cloud-ruby,GoogleCloudPlatform/google-cloud-ruby,False,57,19506,True,True,Ruby,148,148,2014-05-30 21:47:14,2016-09-22 17:55:43,https://googlecloudplatform.github.io/google-cloud-ruby/
342,GoogleCloudPlatform,24478117,appengine-mapreduce,GoogleCloudPlatform/appengine-mapreduce,False,88,14087,True,True,Python,164,164,2014-09-25 22:53:21,2016-09-16 18:08:24,https://github.com/GoogleCloudPlatform/appengine-mapreduce/wiki/1-MapReduce
343,GoogleCloudPlatform,26181278,google-cloud-java,GoogleCloudPlatform/google-cloud-java,False,82,249427,True,True,Java,154,154,2014-11-04 17:57:16,2016-09-22 13:00:24,http://googlecloudplatform.github.io/google-cloud-java/
344,GoogleCloudPlatform,27503425,DataflowJavaSDK,GoogleCloudPlatform/DataflowJavaSDK,False,266,14018,True,False,Java,678,678,2014-12-03 19:20:21,2016-09-18 16:22:37,http://cloud.google.com/dataflow
345,GoogleCloudPlatform,30325550,gcsfuse,GoogleCloudPlatform/gcsfuse,False,28,3446,True,True,Go,220,220,2015-02-04 22:47:10,2016-09-22 05:56:16,https://cloud.google.com/storage/docs/gcs-fuse
348,GoogleCloudPlatform,35065891,nodejs-docs-samples,GoogleCloudPlatform/nodejs-docs-samples,False,121,4540,True,False,JavaScript,218,218,2015-05-04 23:26:38,2016-09-22 18:07:05,https://cloud.google.com/nodejs
349,GoogleCloudPlatform,35293089,nodejs-getting-started,GoogleCloudPlatform/nodejs-getting-started,False,90,380,True,True,JavaScript,137,137,2015-05-08 17:41:34,2016-09-18 13:10:26,https://cloud.google.com/nodejs
354,GoogleCloudPlatform,50685592,cloud-vision,GoogleCloudPlatform/cloud-vision,False,276,6390,True,True,Python,372,372,2016-01-29 19:22:07,2016-09-22 18:08:09,https://cloud.google.com/vision
355,GoogleCloudPlatform,52123243,DataflowPythonSDK,GoogleCloudPlatform/DataflowPythonSDK,False,22,898,True,False,Python,119,119,2016-02-19 23:24:03,2016-09-17 04:11:15,http://cloud.google.com/dataflow
357,googlemaps,10113030,android-maps-utils,googlemaps/android-maps-utils,False,787,4661,True,False,Java,1650,1650,2013-05-17 00:08:48,2016-09-22 20:05:11,https://developers.google.com/maps/documentation/android-api/utility/
361,googlemaps,23331348,js-rich-marker,googlemaps/js-rich-marker,False,70,121,True,True,JavaScript,122,122,2014-08-25 22:51:23,2016-09-21 01:43:24,http://googlemaps.github.io/js-rich-marker/reference.html
362,googlemaps,23974072,js-marker-clusterer,googlemaps/js-marker-clusterer,False,415,692,True,True,JavaScript,782,782,2014-09-12 19:32:50,2016-09-21 07:12:34,https://googlemaps.github.io/js-marker-clusterer/docs/reference.html
364,googlemaps,24163395,js-store-locator,googlemaps/js-store-locator,False,145,161,True,True,JavaScript,248,248,2014-09-17 21:41:03,2016-09-22 13:52:16,https://googlemaps.github.io/js-store-locator/reference.html
365,googlemaps,28112994,OpenInGoogleMaps-iOS,googlemaps/OpenInGoogleMaps-iOS,False,23,456,True,True,HTML,102,102,2014-12-17 00:13:20,2016-09-21 16:21:50,http://googlemaps.github.io/OpenInGoogleMaps-iOS/
367,googlemaps,40217042,js-samples,googlemaps/js-samples,False,339,56452,True,False,HTML,158,158,2015-08-05 01:08:09,2016-09-22 14:32:01,https://developers.google.com/maps/documentation/javascript/
369,angular,460078,angular.js,angular/angular.js,False,25763,179953,True,True,JavaScript,52330,52330,2010-01-06 00:34:37,2016-09-23 04:36:06,http://angularjs.org
370,angular,1195004,angular-seed,angular/angular-seed,False,6898,57697,True,True,JavaScript,12048,12048,2010-12-24 06:07:50,2016-09-23 04:12:25,http://angularjs.org/
371,angular,1343653,angularjs.org,angular/angularjs.org,False,206,3854,True,True,JavaScript,258,258,2011-02-08 21:08:44,2016-09-22 18:47:58,http://angularjs.org/
372,angular,1452079,angular-phonecat,angular/angular-phonecat,False,4529,115209,True,True,JavaScript,2643,2643,2011-03-07 21:42:29,2016-09-22 20:00:16,http://docs.angularjs.org/tutorial
373,angular,2661383,peepcode-tunes,angular/peepcode-tunes,False,53,1289,True,True,JavaScript,211,211,2011-10-27 21:30:51,2016-08-30 17:00:20,http://peepcode.com/products/backbone-ii
378,angular,7639232,protractor,angular/protractor,False,1348,10599,True,True,JavaScript,5861,5861,2013-01-16 04:30:53,2016-09-23 05:13:20,http://www.protractortest.org
385,angular,15467734,zone.js,angular/zone.js,False,166,1580,True,True,TypeScript,1680,1680,2013-12-27 06:08:07,2016-09-23 02:21:14,https://github.com/angular/zone.js
393,angular,21399598,material,angular/material,False,3060,82177,True,False,JavaScript,14529,14529,2014-07-01 19:20:06,2016-09-23 02:03:47,https://material.angularjs.org/
395,angular,24195339,angular,angular/angular,False,4209,645229,True,False,TypeScript,16574,16574,2014-09-18 16:12:01,2016-09-23 04:55:07,https://angular.io
399,angular,31985425,angular.io,angular/angular.io,False,739,53255,True,True,HTML,612,612,2015-03-10 22:32:34,2016-09-23 05:12:38,https://angular.io
401,angular,37609745,react-native-renderer,angular/react-native-renderer,False,49,151583,True,True,TypeScript,493,493,2015-06-17 17:24:31,2016-09-22 19:45:19,http://angular.github.io/react-native-renderer/
406,angular,49016322,material2,angular/material2,False,815,7598,True,True,TypeScript,4373,4373,2016-01-04 18:50:02,2016-09-23 05:03:14,https://material.angular.io/
407,angular,49453413,angularfire2,angular/angularfire2,False,198,548,True,True,TypeScript,801,801,2016-01-11 20:47:23,2016-09-23 02:26:26,https://github.com/angular/angularfire2
412,facebook,455600,hhvm,facebook/hhvm,False,2558,296200,True,True,C++,13935,13935,2010-01-02 01:17:06,2016-09-23 03:44:03,http://hhvm.com
413,facebook,462859,xhp-lib,facebook/xhp-lib,False,136,1356,True,True,Hack,1125,1125,2010-01-07 20:20:02,2016-09-20 12:20:42,http://facebook.github.io/xhp-lib/
415,facebook,619240,open-graph-protocol,facebook/open-graph-protocol,False,83,214,False,False,PHP,266,266,2010-04-20 08:52:25,2016-09-08 19:47:12,http://ogp.me
416,facebook,659341,facebook-android-sdk,facebook/facebook-android-sdk,False,2276,18907,False,False,Java,3927,3927,2010-05-10 17:17:33,2016-09-22 22:37:17,https://developers.facebook.com/docs/android
417,facebook,738491,facebook-ios-sdk,facebook/facebook-ios-sdk,False,2235,25771,False,False,Objective-C,5610,5610,2010-06-24 22:11:03,2016-09-23 03:08:21,https://developers.facebook.com/docs/ios
418,facebook,932626,pfff,facebook/pfff,False,150,39120,True,True,OCaml,1756,1756,2010-09-23 05:13:55,2016-09-23 01:17:38,http://github.com/facebook/pfff/wiki/Main
423,facebook,4524181,folly,facebook/folly,False,1692,13554,True,True,C++,7217,7217,2012-06-01 20:49:04,2016-09-23 04:23:37,https://groups.google.com/forum/?fromgroups#!forum/facebook-folly
427,facebook,6930489,watchman,facebook/watchman,False,384,15571,True,True,C++,4579,4579,2012-11-29 23:35:52,2016-09-23 04:40:00,https://facebook.github.io/watchman/
428,facebook,6934395,rocksdb,facebook/rocksdb,False,1259,127691,True,True,C++,6106,6106,2012-11-30 06:16:18,2016-09-23 03:18:26,http://rocksdb.org
430,facebook,7083261,libphenom,facebook/libphenom,False,316,1904,True,True,C,1404,1404,2012-12-09 20:36:04,2016-09-23 04:57:45,http://facebook.github.io/libphenom
432,facebook,9454675,mysql-5.6,facebook/mysql-5.6,False,211,494442,True,True,C++,671,671,2013-04-15 17:54:43,2016-09-21 10:18:10,https://github.com/facebook/mysql-5.6
433,facebook,9504214,buck,facebook/buck,False,530,441690,True,False,Java,3088,3088,2013-04-17 18:12:18,2016-09-23 05:10:40,https://buckbuild.com
436,facebook,10270250,react,facebook/react,False,8762,133839,True,True,JavaScript,49620,49620,2013-05-24 16:15:54,2016-09-23 05:21:35,https://facebook.github.io/react/
442,facebook,13346571,regenerator,facebook/regenerator,False,160,2952,True,True,JavaScript,1715,1715,2013-10-05 14:37:03,2016-09-22 19:34:16,http://facebook.github.io/regenerator/
443,facebook,13486910,rebound,facebook/rebound,False,680,24762,True,True,Java,3809,3809,2013-10-11 01:12:37,2016-09-23 03:01:34,http://facebook.github.io/rebound/
444,facebook,15062869,jest,facebook/jest,False,662,8170,True,True,JavaScript,5415,5415,2013-12-10 00:18:04,2016-09-23 05:10:31,http://facebook.github.io/jest/
445,facebook,15240249,origami,facebook/origami,False,450,665769,True,True,Objective-C,3261,3261,2013-12-16 23:37:18,2016-09-22 18:50:26,http://facebook.github.io/origami
448,facebook,16226063,conceal,facebook/conceal,False,336,33261,True,True,Java,1993,1993,2014-01-25 06:22:49,2016-09-21 03:01:50,http://facebook.github.io/conceal/
449,facebook,16243124,planout,facebook/planout,False,126,6135,True,True,JavaScript,970,970,2014-01-26 00:07:54,2016-09-20 00:31:41,http://facebook.github.io/planout
450,facebook,16303023,bistro,facebook/bistro,False,18,2434,True,True,C++,139,139,2014-01-28 05:26:00,2016-09-20 02:37:02,https://bistro.io
459,facebook,17996971,augmented-traffic-control,facebook/augmented-traffic-control,False,457,12007,True,True,Python,3206,3206,2014-03-21 22:58:17,2016-09-22 22:45:11,https://facebook.github.io/augmented-traffic-control
468,facebook,21265042,AsyncDisplayKit,facebook/AsyncDisplayKit,False,1604,81711,True,True,Objective-C,9269,9269,2014-06-27 05:29:02,2016-09-23 05:18:08,http://asyncdisplaykit.org
469,facebook,21413198,immutable-js,facebook/immutable-js,False,783,23696,True,True,JavaScript,14941,14941,2014-07-02 06:02:29,2016-09-23 05:16:02,http://facebook.github.io/immutable-js/
471,facebook,22046023,flux,facebook/flux,False,3386,1842,True,True,JavaScript,12439,12439,2014-07-20 23:33:08,2016-09-23 01:59:24,http://facebook.github.io/flux/
472,facebook,22231878,wdt,facebook/wdt,False,239,1756,True,True,C++,1559,1559,2014-07-24 21:23:34,2016-09-23 03:17:30,https://www.facebook.com/WdtOpenSource
474,facebook,22394357,osquery,facebook/osquery,False,756,13105,True,True,C++,6759,6759,2014-07-29 20:27:33,2016-09-23 02:51:18,https://osquery.io
